Time,EVID,CSOID,ChID,Power_flow,SoC,Money,Temp,SoH
6,1,1,1,5.6,0.4,0.956088,15.5,99.49058878
7,1,1,1,7.2,0.54,1.229256,15.5,99.49058878
10,1,1,1,7.2,0.72,1.229256,17,99.49058878
14,1,1,1,-7.2,0.9,-1.847304,22,99.49058878
15,1,1,1,-7.2,0.72,-1.847304,21,99.49058878
16,1,1,1,-7.2,0.54,-1.847304,21,99.49058878
17,1,1,1,-7.2,0.36,-1.847304,19.5,99.49058878
19,1,1,1,2.4,0.18,0.409752,18,99.49058878
22,1,1,1,7.2,0.24,1.229256,15.5,99.49058878
23,1,1,1,7.2,0.42,1.229256,15.5,99.49058878
3,2,1,2,5.6,0.4,0.956088,16,99.25841313
6,2,1,2,7.2,0.54,1.229256,15.5,99.25841313
9,2,1,2,7.2,0.72,1.229256,15.5,99.25841313
14,2,1,2,-7.2,0.9,-1.847304,22,99.25841313
15,2,1,2,-7.2,0.72,-1.847304,21,99.25841313
16,2,1,2,-7.2,0.54,-1.847304,21,99.25841313
17,2,1,2,-7.2,0.36,-1.847304,19.5,99.25841313
19,2,1,2,2.4,0.18,0.409752,18,99.25841313
21,2,1,2,7.2,0.24,1.229256,16.5,99.25841313
23,2,1,2,7.2,0.42,1.229256,15.5,99.25841313
3,3,1,3,7.2,0.4,1.229256,16,99.08282624
6,3,1,3,7.2,0.58,1.229256,15.5,99.08282624
10,3,1,3,2.4,0.76,0.409752,17,99.08282624
14,3,1,3,-7.2,0.82,-1.847304,22,99.08282624
15,3,1,3,-7.2,0.64,-1.847304,21,99.08282624
16,3,1,3,-7.2,0.46,-1.847304,21,99.08282624
17,3,1,3,-7.2,0.28,-1.847304,19.5,99.08282624
19,3,1,3,7.2,0.1,1.229256,18,99.08282624
21,3,1,3,5.6,0.28,0.956088,16.5,99.08282624
23,3,1,3,7.2,0.42,1.229256,15.5,99.08282624
7,4,1,4,7.2,0.4,1.229256,15.5,98.93721201
14,4,1,4,-7.2,0.58,-1.847304,22,98.93721201
15,4,1,4,-7.2,0.4,-1.847304,21,98.93721201
16,4,1,4,-2.4,0.22,-0.615768,21,98.93721201
17,4,1,4,-2.4,0.16,-0.615768,19.5,98.93721201
19,4,1,4,7.2,0.1,1.229256,18,98.93721201
22,4,1,4,7.2,0.28,1.229256,15.5,98.93721201
23,4,1,4,5.6,0.46,0.956088,15.5,98.93721201
6,5,1,5,7.2,0.4,1.229256,15.5,98.80883655
9,5,1,5,0.8,0.58,0.136584,15.5,98.80883655
15,5,1,5,-7.2,0.6,-1.847304,21,98.80883655
17,5,1,5,-7.2,0.42,-1.847304,19.5,98.80883655
19,5,1,5,7.2,0.24,1.229256,18,98.80883655
23,5,1,5,7.2,0.42,1.229256,15.5,98.80883655
6,6,1,6,7.2,0.4,1.229256,15.5,98.69272675
8,6,1,6,7.2,0.58,1.229256,15.5,98.69272675
9,6,1,6,0.8,0.76,0.136584,15.5,98.69272675
14,6,1,6,-7.2,0.78,-1.847304,22,98.69272675
3,7,1,7,5.6,0.4,0.956088,16,98.58592138
6,7,1,7,7.2,0.54,1.229256,15.5,98.58592138
7,7,1,7,7.2,0.72,1.229256,15.5,98.58592138
14,7,1,7,-7.2,0.9,-1.847304,22,98.58592138
15,7,1,7,-7.2,0.72,-1.847304,21,98.58592138
16,7,1,7,-4.8,0.54,-1.231536,21,98.58592138
17,7,1,7,-7.2,0.42,-1.847304,19.5,98.58592138
21,7,1,7,7.2,0.24,1.229256,16.5,98.58592138
23,7,1,7,7.2,0.42,1.229256,15.5,98.58592138
3,8,1,8,5.6,0.4,0.956088,16,98.48648798
6,8,1,8,7.2,0.54,1.229256,15.5,98.48648798
9,8,1,8,7.2,0.72,1.229256,15.5,98.48648798
14,8,1,8,-7.2,0.9,-1.847304,22,98.48648798
17,8,1,8,-7.2,0.72,-1.847304,19.5,98.48648798
23,8,1,8,2.4,0.54,0.409752,15.5,98.48648798
7,9,1,9,7.2,0.4,1.229256,15.5,98.39308277
8,9,1,9,0.8,0.58,0.136584,15.5,98.39308277
15,9,1,9,-7.2,0.6,-1.847304,21,98.39308277
16,9,1,9,-7.2,0.42,-1.847304,21,98.39308277
21,9,1,9,7.2,0.24,1.229256,16.5,98.39308277
23,9,1,9,7.2,0.42,1.229256,15.5,98.39308277
7,10,1,10,7.2,0.4,1.229256,15.5,98.29993286
9,10,1,10,7.2,0.58,1.229256,15.5,98.29993286
15,10,1,10,-6.4,0.76,-1.642048,21,98.29993286
16,10,1,10,-7.2,0.6,-1.847304,21,98.29993286
